key,description,en,pl_auto
descripton.3,,"Discover reliable gear designed to support every ride, from daily commutes to long-distance adventures. Our selection includes practical and affordable equipment and accessories focused on comfort, safety, and performance. Sourced directly from manufacturers, these products offer excellent value and durability. Whether you ride for leisure, training, or exploration, you’ll find everything you need to enjoy cycling with confidence—without paying premium prices.","Odkryj niezawodny sprzęt zaprojektowany z myślą o każdej jeździe, od codziennych dojazdów do pracy po dalekie wyprawy. Nasza oferta obejmuje praktyczny i niedrogi sprzęt oraz akcesoria, które zapewniają komfort, bezpieczeństwo i wydajność. Produkty te, pochodzące bezpośrednio od producentów, oferują doskonałą jakość i trwałość. Niezależnie od tego, czy jeździsz rekreacyjnie, trenujesz, czy eksplorujesz, znajdziesz u nas wszystko, czego potrzebujesz, aby cieszyć się jazdą na rowerze z pewnością siebie – bez konieczności płacenia wysokich cen."
descripton.4,,"Enjoy every round with reliable equipment and accessories designed for precision, comfort, and performance on the course. Our selection focuses on practical and affordable gear suitable for practice and play. Sourced directly from manufacturers, these products deliver excellent value while supporting consistency and control. Whether you are improving your swing or enjoying a casual game, you’ll find the essentials to play with confidence—without paying premium prices.","Ciesz się każdą rundą dzięki niezawodnemu sprzętowi i akcesoriom zaprojektowanym z myślą o precyzji, komforcie i wydajności na polu. Nasza oferta koncentruje się na praktycznym i niedrogim sprzęcie, odpowiednim do ćwiczeń i gry. Produkty te, pochodzące bezpośrednio od producentów, oferują doskonałą wartość, a jednocześnie wspierają spójność i kontrolę. Niezależnie od tego, czy doskonalisz swój swing, czy grasz rekreacyjnie, znajdziesz u nas wszystko, co niezbędne, aby grać pewnie – bez przepłacania."
descripton.5,,"Discover a range of fun and engaging products designed to enhance leisure time for all ages. Our selection includes practical and affordable items for indoor and outdoor enjoyment, perfect for relaxing moments, games, and social activities. Sourced directly from manufacturers, these products focus on simplicity, durability, and value, helping you enjoy everyday entertainment without paying premium prices.","Odkryj gamę zabawnych i angażujących produktów, które uprzyjemnią czas wolny osobom w każdym wieku. Nasza oferta obejmuje praktyczne i niedrogie produkty do użytku wewnątrz i na zewnątrz, idealne na chwile relaksu, gry i spotkania towarzyskie. Produkty te, pochodzące bezpośrednio od producentów, charakteryzują się prostotą, trwałością i wartością, pozwalając cieszyć się codzienną rozrywką bez konieczności płacenia wysokich cen."
descripton.6,,"Prepare for the outdoors with reliable gear designed for comfort, safety, and practicality on every adventure. Our selection includes affordable equipment and accessories suited for camping trips and hiking excursions. Sourced directly from manufacturers, these products focus on durability, lightweight design, and ease of use. Whether exploring trails or spending nights in nature, you’ll find essential gear to enjoy the outdoors with confidence—without paying premium prices.

","Przygotuj się na wyprawę na łonie natury z niezawodnym sprzętem zaprojektowanym z myślą o komforcie, bezpieczeństwie i praktyczności podczas każdej przygody. Nasza oferta obejmuje niedrogi sprzęt i akcesoria idealne na kempingi i piesze wycieczki. Produkty te, pochodzące bezpośrednio od producentów, charakteryzują się trwałością, lekkością i łatwością użytkowania. Niezależnie od tego, czy eksplorujesz szlaki, czy spędzasz noce na łonie natury, znajdziesz u nas niezbędny sprzęt, który pozwoli Ci cieszyć się spokojem na świeżym powietrzu – bez konieczności płacenia wysokich cen.

"
,,,#VALUE!
meta.title.menu.1,,"Fitness Equipment & Training Gear at Factory Prices | Sport4All
","Sprzęt fitness i sprzęt treningowy w cenach fabrycznych | Sport4All
"
meta.title.menu.2,,"Water Sports Gear & Accessories at Factory Prices | Sport4All
","Sprzęt i akcesoria do sportów wodnych w cenach fabrycznych | Sport4All
"
meta.title.menu.3,,"Cycling Gear & Accessories at Factory Prices | Sport4All
","Sprzęt i akcesoria rowerowe w cenach fabrycznych | Sport4All
"
meta.title.menu.4,,"Golf Equipment & Accessories at Factory Prices | Sport4All
","Sprzęt i akcesoria golfowe w cenach fabrycznych | Sport4All
"
meta.title.menu.5,,"Entertainment & Leisure Products at Factory Prices | Sport4All
","Produkty rozrywkowe i rekreacyjne w cenach fabrycznych | Sport4All
"
meta.title.menu.6,,"Camping & Hiking Gear at Factory Prices | Sport4All
","Sprzęt kempingowy i turystyczny w cenach fabrycznych | Sport4All
"
,,,#VALUE!
meta.des.menu.1,,Affordable fitness equipment and training accessories sourced directly from manufacturers. Train at home or at the gym with reliable gear at factory prices.,Przystępny cenowo sprzęt fitness i akcesoria treningowe bezpośrednio od producentów. Trenuj w domu lub na siłowni z niezawodnym sprzętem w cenach fabrycznych.
meta.des.menu.2,,"Discover affordable water sports equipment for sea, lake, and river activities. Durable and reliable gear sourced directly from manufacturers.","Odkryj niedrogi sprzęt do sportów wodnych na morzu, jeziorze i rzece. Wytrzymały i niezawodny sprzęt bezpośrednio od producentów."
meta.des.menu.3,,"Shop affordable cycling equipment and accessories designed for comfort, safety, and performance. Factory-direct prices for every ride.","Kupuj niedrogi sprzęt i akcesoria rowerowe zaprojektowane z myślą o komforcie, bezpieczeństwie i wydajności. Ceny fabryczne przy każdej jeździe."
meta.des.menu.4,,Explore affordable golf gear and accessories for practice and play. Reliable equipment sourced directly from manufacturers at factory prices.,Odkryj niedrogi sprzęt i akcesoria golfowe do ćwiczeń i gry. Niezawodny sprzęt pochodzący bezpośrednio od producentów w cenach fabrycznych.
meta.des.menu.5,,"Find fun and affordable entertainment products for indoor and outdoor leisure. Practical, durable items sourced directly from manufacturers.",Znajdź zabawne i niedrogie produkty rozrywkowe do wypoczynku w domu i na świeżym powietrzu. Praktyczne i trwałe produkty pochodzące bezpośrednio od producentów.
meta.des.menu.6,,Discover affordable camping and hiking equipment built for comfort and durability. Outdoor gear sourced directly from manufacturers at factory prices.,Odkryj niedrogi sprzęt kempingowy i turystyczny zaprojektowany z myślą o komforcie i trwałości. Sprzęt outdoorowy pochodzi bezpośrednio od producentów w cenach fabrycznych.
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,Footer,,#VALUE!
,,,#VALUE!
footer.link.home,Lien footer Accueil,Home,Strona startowa
footer.link.sitemap,Lien footer Plan du site,Site map,Mapa witryny
footer.link.conditions,Lien footer Conditions,Terms of Use,Warunki korzystania
footer.link.mentions,Lien footer Mentions légales,Legal notice,Informacja prawna
footer.link.policy,Lien footer Politique,Privacy Policy,Polityka prywatności
footer.link.aboutus,Lien footer about us,About us,O nas
,,,#VALUE!
,,,#VALUE!
legal.conditions.title,Titre page Conditions d'utilisation,Terms of Use - AliExpress Affiliate Program,Warunki korzystania – Program partnerski AliExpress
legal.mentions.title,Titre page Mentions légales,Legal Notice - AliExpress Affiliate Program,Informacja prawna – Program partnerski AliExpress
legal.policy.title,Titre page Politique de confidentialité,Privacy Policy - AliExpress Affiliate Program,Polityka prywatności – program partnerski AliExpress
legal.aboutus.title,Titre page about us,About us – SPORT4ALL,O nas – SPORT4ALL
,,,#VALUE!
legal.conditions.meta.description,Description SEO Conditions,AliExpress Affiliate Site Terms of Use,Warunki korzystania z witryny partnerskiej AliExpress
legal.mentions.meta.description,Description SEO Mentions légales,Legal notices for the AliExpress affiliate website,Informacje prawne dotyczące witryny partnerskiej AliExpress
legal.policy.meta.description,Description SEO Politique,AliExpress Affiliate Site Privacy Policy,Polityka prywatności witryny partnerskiej AliExpress
legal.aboutus.meta.description,Description SEO About us,"Learn more about Sport4All, a platform promoting sports, fitness, outdoor, and leisure equipment sourced directly from manufacturers through trusted partners, offering factory-level prices for everyone.","Dowiedz się więcej o Sport4All, platformie promującej sprzęt sportowy, fitness, outdoorowy i rekreacyjny, który pochodzi bezpośrednio od producentów za pośrednictwem zaufanych partnerów i oferuje każdemu ceny fabryczne."
,,,#VALUE!
legal.conditions.content,,"<h1>Terms of Use - AliExpress Affiliate Program</h1>
<p style=""margin-bottom: 2rem;"">Terms of Use Last updated: 2024</p>
<p style=""margin-bottom: 2rem;"">1. Acceptance of Terms By accessing and using this website, you agree to be bound by these terms of use. If you do not agree to these terms, please do not use this site.</p>
<p style=""margin-bottom: 2rem;"">2. Description of Service This site is an affiliate site that provides links to products available on AliExpress. We do not sell the products directly, but earn a commission on sales made through our affiliate links.</p>
<p style=""margin-bottom: 2rem;"">3. Affiliate Links All links to AliExpress are affiliate links. By clicking on these links and making a purchase, we may receive a commission at no additional cost to you.</p>
<p style=""margin-bottom: 2rem;"">4. Liability We are not responsible for the quality, availability, or delivery of products sold on AliExpress. All disputes concerning products must be resolved directly with AliExpress or the seller.</p>
<p style=""margin-bottom: 2rem;"">5. Intellectual Property The content of this site, including text, images, and logos, is protected by intellectual property laws. Any unauthorized reproduction is prohibited.</p>
<p style=""margin-bottom: 2rem;"">6. Modifications We reserve the right to modify these terms of use at any time. Modifications will take effect immediately upon their posting on the website.</p>
<p style=""margin-bottom: 2rem;"">7. Contact For any questions regarding these terms of use, you can contact us at: contact@evanstudio.com</p>
","
<p style=""margin-bottom: 2rem;"">Warunki korzystania – ostatnia aktualizacja: 2024</p>
<p style=""margin-bottom: 2rem;"">1. Akceptacja warunków. Uzyskując dostęp do tej witryny i korzystając z niej, zgadzasz się na przestrzeganie niniejszych warunków korzystania. Jeśli nie zgadzasz się z tymi warunkami, prosimy o niekorzystanie z tej witryny.</p>
<p style=""margin-bottom: 2rem;"">2. Opis usługi. Ta witryna jest witryną partnerską, która zawiera linki do produktów dostępnych na AliExpress. Nie sprzedajemy produktów bezpośrednio, ale zarabiamy prowizję od sprzedaży dokonanej za pośrednictwem naszych linków partnerskich.</p>
<p style=""margin-bottom: 2rem;"">3. Linki partnerskie. Wszystkie linki do AliExpress są linkami partnerskimi. Klikając te linki i dokonując zakupu, możemy otrzymać prowizję bez dodatkowych kosztów dla Ciebie.</p>
<p style=""margin-bottom: 2rem;"">4. Odpowiedzialność Nie ponosimy odpowiedzialności za jakość, dostępność ani dostawę produktów sprzedawanych na AliExpress. Wszelkie spory dotyczące produktów muszą być rozstrzygane bezpośrednio z AliExpress lub sprzedawcą.</p>
<p style=""margin-bottom: 2rem;"">5. Własność intelektualna. Zawartość tej strony, w tym tekst, obrazy i logo, jest chroniona prawami własności intelektualnej. Wszelkie nieautoryzowane powielanie jest zabronione.</p>
<p style=""margin-bottom: 2rem;"">6. Zmiany. Zastrzegamy sobie prawo do zmiany niniejszych warunków użytkowania w dowolnym momencie. Zmiany wchodzą w życie natychmiast po ich opublikowaniu na stronie internetowej.</p>
<p style=""margin-bottom: 2rem;"">7. Kontakt. W przypadku pytań dotyczących niniejszych warunków użytkowania prosimy o kontakt pod adresem: contact@evanstudio.com</p>
"
,,,#VALUE!
legal.mentions.content,,"<h1>Legal Notice - AliExpress Affiliate Program</h1>
<p>Last updated: 2024</p>
<h2>1. Website Publisher</h2>
<ul>
    <li>Company name: EVAN STUDIO CO.LTD</li>
    <li>Email: contact@evanstudio.net</li>
</ul>
<h2>2. Publication Director</h2>
<p>EVAN STUDIO CO.LTD (Director and Owner)</p>
<h2>3. Hosting</h2>
<ul>
    <li>Host: Cloudflare</li>
    <li>Address: 101 Townsend St, San Francisco, CA 94107, USA</li>
</ul>
<h2>4. Intellectual Property</h2>
<p>This entire website is governed by French and international legislation on copyright and intellectual property. All rights of reproduction are reserved, including for downloadable documents and iconographic and photographic representations. Reproduction of all or part of this website on any electronic medium whatsoever is strictly prohibited without the express authorization of the publication director.</p>
<h2>5. Protection of Personal Data</h2>
<p>In accordance with the French Data Protection Act of 6 January 1978, as amended, and the General Data Protection Regulation (GDPR), you have the right to access, rectify, erase, and object to the processing of your personal data. To exercise this right, you can contact us at: contact@alxgroup.com</p>
<h2>6. External Links</h2>
<p>This site contains links to external websites. We are not responsible for the content of these external websites or their privacy policies.</p>
<h2>7. Cookies</h2>
<p>This site may use cookies to improve the user experience. For more information, please see our <a href=""https://policies.google.com/privacy?hl=en-US"">Privacy Policy</a>.</p>
<h2>8. Contact</h2>
<p>For any questions regarding these legal notices, you can contact us at: contact@evanstudio.com</p>
","
<p>Ostatnia aktualizacja: 2024</p>
<h2>1. Wydawca witryny</h2>
<ul>
<li>Nazwa firmy: EVAN STUDIO CO.LTD</li>
<li>Adres e-mail: contact@evanstudio.net</li>
</ul>
<h2>2. Dyrektor ds. publikacji</h2>
<p>EVAN STUDIO CO.LTD (Dyrektor i Właściciel)</p>
<h2>3. Hosting</h2>
<ul>
<li>Host: Cloudflare</li>
<li>Adres: 101 Townsend St, San Francisco, CA 94107, USA</li>
</ul>
<h2>4. Własność intelektualna</h2>
<p>Cała niniejsza witryna podlega francuskim i międzynarodowym przepisom dotyczącym praw autorskich i własności intelektualnej. Wszelkie prawa do reprodukcji zastrzeżone, w tym do dokumentów do pobrania oraz przedstawień ikonograficznych i fotograficznych. Reprodukcja całości lub części tej strony internetowej na jakimkolwiek nośniku elektronicznym jest surowo zabroniona bez wyraźnej zgody dyrektora publikacji.</p>
<h2>5. Ochrona danych osobowych</h2>
<p>Zgodnie z francuską ustawą o ochronie danych osobowych z dnia 6 stycznia 1978 r. z późniejszymi zmianami oraz ogólnym rozporządzeniem o ochronie danych (RODO), masz prawo dostępu, sprostowania, usunięcia i sprzeciwu wobec przetwarzania swoich danych osobowych. Aby skorzystać z tego prawa, skontaktuj się z nami pod adresem: contact@alxgroup.com</p>
<h2>6. Linki zewnętrzne</h2>
<p>Ta strona zawiera linki do zewnętrznych stron internetowych. Nie ponosimy odpowiedzialności za treść tych zewnętrznych stron internetowych ani za ich politykę prywatności.</p>
<h2>7. Pliki cookie</h2>
<p>Ta strona może wykorzystywać pliki cookie w celu poprawy komfortu użytkowania. Aby uzyskać więcej informacji, zapoznaj się z naszą <a href=""https://policies.google.com/privacy?hl=pl"">Polityką prywatności</a>.</p>
<h2>8. Kontakt</h2>
<p>W przypadku pytań dotyczących niniejszych informacji prawnych prosimy o kontakt pod adresem: contact@evanstudio.com</p>
"
,,,#VALUE!
legal.policy.content,,"<h1>Privacy Policy - AliExpress Affiliate Program</h1>
<p>Last updated: 2024</p>
<h2>1. Introduction</h2>
<p>This privacy policy describes how we collect, use, and protect your personal information when you use our website.</p>
<h2>2. Data Collected</h2>
<ul>
    <li>Browsing data: IP address, browser type, pages visited, visit duration</li>
    <li>Cookies: to improve your user experience and analyze traffic</li>
    <li>Contact data: if you contact us via the form or email</li>
</ul>
<h2>3. Use of Data</h2>
<ul>
    <li>Improve the website's functionality</li>
    <li>Analyze website traffic and usage</li>
    <li>Contact you in response to your inquiries</li>
    <li>Comply with our legal obligations</li>
</ul>
<h2>4. Cookies</h2>
<ul>
    <li>Remember your preferences</li>
    <li>Analyze website traffic</li>
    <li>Improve the user experience</li>
</ul>
<p>You can disable cookies in your browser settings, but this may affect some website functionality.</p>
<h2>5. Data Sharing</h2>
<p>We do not sell, rent, or share your personal data with third parties, except:</p>
<ul>
    <li>When required by law</li>
    <li>With your explicit consent</li>
    <li>With our service providers (hosting, analytics) under a confidentiality agreement</li>
</ul>
<h2>6. Data Security</h2>
<p>We implement appropriate security measures to protect your personal data against unauthorized access, modification, disclosure, or destruction.</p>
<h2>7. Your Rights (GDPR)</h2>
<ul>
    <li>Right of access: you can request a copy of your personal data</li>
    <li>Right to rectification: you can correct your inaccurate data</li>
    <li>Right to erasure: you can request the deletion of your data</li>
    <li>Right to object: You can object to the processing of your personal data under certain circumstances.</li>
</ul>
","
<p>Ostatnia aktualizacja: 2024</p>
<h2>1. Wstęp</h2>
<p>Niniejsza polityka prywatności opisuje, w jaki sposób gromadzimy, wykorzystujemy i chronimy Twoje dane osobowe podczas korzystania z naszej strony internetowej.</p>
<h2>2. Gromadzone dane</h2>
<ul>
<li>Dane przeglądania: adres IP, typ przeglądarki, odwiedzane strony, czas trwania wizyty</li>
<li>Pliki cookie: w celu poprawy komfortu użytkowania i analizy ruchu</li>
<li>Dane kontaktowe: jeśli kontaktujesz się z nami za pośrednictwem formularza lub wiadomości e-mail</li>
</ul>
<h2>3. Wykorzystanie danych</h2>
<ul>
<li>Poprawa funkcjonalności witryny</li>
<li>Analiza ruchu i sposobu korzystania z witryny</li>
<li>Kontaktowanie się z Tobą w odpowiedzi na Twoje zapytania</li>
<li>Przestrzeganie naszych zobowiązań prawnych</li>
</ul>
<h2>4. Pliki cookie</h2>
<ul>
<li>Zapamiętywanie Twoich preferencji</li>
<li>Analiza ruchu w witrynie</li>
<li>Poprawa komfortu użytkowania</li>
</ul>
<p>Możesz wyłączyć obsługę plików cookie w ustawieniach przeglądarki, ale może to wpłynąć na niektóre funkcje witryny.</p>
<h2>5. Udostępnianie danych</h2>
<p>Nie sprzedajemy, nie wynajmujemy ani nie udostępniamy Twoich danych osobowych stronom trzecim, z wyjątkiem:</p>
<ul>
<li>Gdy wymaga tego prawo</li>
<li>Za Twoją wyraźną zgodą</li>
<li>Naszym dostawcom usług (hosting, analityka) na podstawie umowy o zachowaniu poufności</li>
</ul>
<h2>6. Bezpieczeństwo danych</h2>
<p>Wdrażamy odpowiednie środki bezpieczeństwa, aby chronić Twoje dane osobowe przed nieautoryzowanym dostępem, modyfikacją, ujawnieniem lub zniszczeniem.</p>
<h2>7. Twoje prawa (RODO)</h2>
<ul>
<li>Prawo dostępu: możesz zażądać kopii swoich danych osobowych</li>
<li>Prawo do sprostowania: możesz poprawić swoje nieprawidłowe dane</li>
<li>Prawo do usunięcia: możesz zażądać usunięcia swoich danych</li>
<li>Prawo do sprzeciwu: możesz sprzeciwić się przetwarzaniu swoich danych osobowych w określonych okolicznościach.</li>
</ul>
"
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
legal.aboutus.content,,"<h1>About Sport4All</h1>

<p>
Sport4All was created with a simple goal: <strong>make sports, fitness, and outdoor equipment accessible to everyone at fair prices</strong>.
</p>

<p>
We work with multiple brands and manufacturers sourced directly from Chinese factories, mainly through trusted platforms such as <strong>AliExpress</strong>. By sourcing close to production, we are able to offer <strong>factory-level prices</strong> while maintaining a wide selection of products for sports, fitness, and outdoor activities.
</p>

<h2>What We Offer</h2>

<p>
Our catalog covers a broad range of disciplines, including:
</p>

<p>
• Sports training and fitness equipment<br>
• Outdoor and adventure gear<br>
• Fishing equipment and accessories<br>
• Water sports gear for leisure and performance<br>
• Snow sports equipment for winter activities
</p>

<h2>Our Approach</h2>

<p>
Instead of focusing on expensive marketing or intermediaries, Sport4All prioritizes <strong>value, variety, and affordability</strong>. This approach allows us to provide competitive pricing without compromising on functionality or usability.
</p>

<p>
We carefully select products based on demand, practicality, and customer feedback, and we continuously update our offerings to match current trends and needs.
</p>

<h2>Our Philosophy</h2>

<p>
Sport4All is for beginners, enthusiasts, and active people who want <strong>reliable gear at the right price</strong>, without paying for unnecessary markups.
</p>

<p>
<strong>Train more. Explore more. Pay less.</strong><br>
That’s the Sport4All philosophy.
</p>
","<h1>O Sport4All</h1>

<p>
Firma Sport4All powstała z prostym celem: <strong>udostępnić sprzęt sportowy, fitness i outdoorowy każdemu w uczciwych cenach</strong>.
</p>

<p>
Współpracujemy z wieloma markami i producentami, którzy pozyskują produkty bezpośrednio z chińskich fabryk, głównie za pośrednictwem zaufanych platform, takich jak <strong>AliExpress</strong>. Dzięki współpracy z producentami blisko miejsca produkcji, możemy oferować <strong>ceny fabryczne</strong>, zachowując jednocześnie szeroki wybór produktów do sportu, fitnessu i aktywności na świeżym powietrzu.
</p>

<h2>Co oferujemy</h2>

<p>
Nasz katalog obejmuje szeroki zakres dyscyplin, w tym:
</p>

<p>
• Sprzęt do treningu sportowego i fitnessu<br>
• Sprzęt outdoorowy i rekreacyjny<br>
• Sprzęt i akcesoria wędkarskie<br>
• Sprzęt do sportów wodnych do rekreacji i aktywności fizycznej<br>
• Sprzęt do sportów zimowych
</p>

<h2>Nasze podejście</h2>

<p>
Zamiast koncentrować się na kosztownym marketingu lub pośrednikach, Sport4All stawia na <strong>wartość, różnorodność i przystępność cenową</strong>. Takie podejście pozwala nam oferować konkurencyjne ceny bez kompromisów w zakresie funkcjonalności i użyteczności.
</p>

<p>
Starannie dobieramy produkty w oparciu o popyt, praktyczność i opinie klientów, a także stale aktualizujemy naszą ofertę, aby odpowiadała aktualnym trendom i potrzebom. </p>

<h2>Nasza filozofia</h2>

<p>
Sport4All to marka dla początkujących, entuzjastów i osób aktywnych, które chcą <strong>niezawodnego sprzętu w odpowiedniej cenie</strong>, bez zbędnych marż.
</p>

<p>
<strong>Trenuj więcej. Odkrywaj więcej. Płać mniej.</strong><br>
To filozofia Sport4All.
</p>
"
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
footer.copyright,Texte copyright footer,© 2024 AliExpress Affiliate. All rights reserved.,© 2024 AliExpress Affiliate. Wszelkie prawa zastrzeżone.
footer.contact,Texte contact footer,Contact us:,Skontaktuj się z nami:
site.domain,Domaine du site (URL de base),https://esport4all.com,https://esport4all.com
site.contact.email,Adresse email de contact,contact@evanstudio.net,contact@evanstudio.net
,,,#VALUE!
,,,#VALUE!
,,</head>,</head>
,,<body>,<treść>
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,Index,,#VALUE!
,,,#VALUE!
site.meta.title,Titre SEO du site (page d'accueil),"Sport4All | Sports, Outdoor & Fitness Equipment at Factory Prices","Sport4All | Sprzęt sportowy, outdoorowy i fitness w cenach fabrycznych"
site.meta.description,Description SEO du site (page d'accueil),"Sport4All offers high-quality sports, outdoor, and fitness equipment at direct factory prices. Gear up for training, adventure, and active living for less.","Sport4All oferuje wysokiej jakości sprzęt sportowy, outdoorowy i fitness w cenach bezpośrednio od producenta. Przygotuj się na trening, przygodę i aktywny tryb życia za mniej."
homepage.hero.title,Titre principal de la page d'accueil (hero),Discover the Best Products of SPORT4ALL,Odkryj najlepsze produkty SPORT4ALL
homepage.hero.subtitle,Sous-titre de la page d'accueil (hero),Exclusive offers and competitive prices for all your needs,Ekskluzywne oferty i konkurencyjne ceny na wszystkie Twoje potrzeby
homepage.hero.button,Texte du bouton hero,View Products,Zobacz produkty
homepage.hero.button.url,URL du lien du bouton hero,https://www.aliexpress.com/store/1105107302?spm=a2g0o.detail.0.0.7c37YBN1YBN1zN,https://www.aliexpress.com/store/1105107302?spm=a2g0o.detail.0.0.7c37YBN1YBN1zN
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,presentation,,#VALUE!
,,,#VALUE!
homepage.presentation.title,Titre de la section présentation marque,About SPORT4ALL,O SPORT4ALL
homepage.presentation.content,Contenu de la section présentation marque,"SPORT4ALL is your destination for affordable sports, fitness, and outdoor equipment at factory prices. We promote a wide range of brands sourced directly from Chinese manufacturers through trusted platforms such as AliExpress. By working close to production, we reduce intermediaries and pass the savings on to our customers. Our selection includes gear for fitness training, outdoor adventures, fishing, water sports, and snow sports. Whether you are a beginner or an active enthusiast, Sport4All helps you stay equipped, active, and ready for every challenge—without overpaying.","SPORT4ALL to miejsce, w którym znajdziesz niedrogi sprzęt sportowy, fitness i outdoorowy w cenach fabrycznych. Promujemy szeroką gamę marek pochodzących bezpośrednio od chińskich producentów za pośrednictwem zaufanych platform, takich jak AliExpress. Dzięki bliskiej współpracy z producentami, ograniczamy pośredników i przekazujemy oszczędności naszym klientom. W naszej ofercie znajdziesz sprzęt do treningu fitness, aktywności na świeżym powietrzu, wędkarstwa, sportów wodnych i zimowych. Niezależnie od tego, czy jesteś początkującym, czy aktywnym entuzjastą, Sport4All pomoże Ci pozostać wyposażonym, aktywnym i gotowym na każde wyzwanie – bez przepłacania."
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
homepage.advantages.title,Titre de la section avantages,</section>,</sekcja>
homepage.advantages.factory_price.title,Titre avantage: Prix Direct Usine,Factory Direct Price,Cena bezpośrednio od producenta
homepage.advantages.factory_price.description,Description avantage: Prix Direct Usine,Benefit from factory-direct pricing without intermediaries.,"Skorzystaj z cen oferowanych bezpośrednio u producenta, bez pośredników."
homepage.advantages.worldwide_shipping.title,Titre avantage: Livraison Mondiale,Worldwide Delivery,Dostawa na cały świat
homepage.advantages.worldwide_shipping.description,Description avantage: Livraison Mondiale,Worldwide delivery for all your needs,Dostawa na cały świat dla wszystkich Twoich potrzeb
homepage.advantages.customer_service.title,Titre avantage: Service Après-Vente Réactif,Responsive After-Sales Service,Szybka obsługa posprzedażowa
homepage.advantages.customer_service.description,Description avantage: Service Après-Vente Réactif,A responsive and available after-sales service to assist you,"Szybka i dostępna obsługa posprzedażowa, która Ci pomoże"
homepage.advantages.secure_payment.title,Titre avantage: Paiement Sécurisé,Secure Payment,Bezpieczna płatność
homepage.advantages.secure_payment.description,Description avantage: Paiement Sécurisé,Secure payment by credit card with maximum protection,Bezpieczna płatność kartą kredytową z maksymalną ochroną
homepage.faq.title,Titre de la section FAQ,Frequently Asked Questions,Często zadawane pytania
homepage.categories.title,Titre de la section catégories,Our Categories,Nasze kategorie
homepage.testimonials.title,Titre de la section témoignages,Customer Reviews,Opinie klientów
homepage.stats.title,Titre de la section statistiques,Our Key Figures,Nasze kluczowe postacie
homepage.stats.products.number,Nombre de produits,1620+,1620+
homepage.stats.products.label,Label produits,Products Available,Dostępne produkty
homepage.stats.countries.number,Nombre de pays,120+,120+
homepage.stats.countries.label,Label pays,Country of Delivery,Kraj dostawy
homepage.stats.satisfaction.number,Taux de satisfaction,98%,98%
homepage.stats.satisfaction.label,Label satisfaction,Customer Satisfaction,Satysfakcja klienta
homepage.stats.support.number,Support client,24/7,24/7
homepage.stats.support.label,Label support,Customer Service,Obsługa klienta
homepage.testimonials.1.name,Nom du témoignage 1,Mathieu C.,Mathieu C.
