key,description,en,es_auto
descripton.3,,"Discover reliable gear designed to support every ride, from daily commutes to long-distance adventures. Our selection includes practical and affordable equipment and accessories focused on comfort, safety, and performance. Sourced directly from manufacturers, these products offer excellent value and durability. Whether you ride for leisure, training, or exploration, you’ll find everything you need to enjoy cycling with confidence—without paying premium prices.","Descubre equipo confiable diseñado para cada salida, desde tus desplazamientos diarios hasta tus aventuras de larga distancia. Nuestra selección incluye equipos y accesorios prácticos y asequibles enfocados en la comodidad, la seguridad y el rendimiento. Procedentes directamente de los fabricantes, estos productos ofrecen una excelente relación calidad-precio y durabilidad. Ya sea que montes por placer, para entrenar o para explorar, encontrarás todo lo que necesitas para disfrutar del ciclismo con confianza, sin pagar precios desorbitados."
descripton.4,,"Enjoy every round with reliable equipment and accessories designed for precision, comfort, and performance on the course. Our selection focuses on practical and affordable gear suitable for practice and play. Sourced directly from manufacturers, these products deliver excellent value while supporting consistency and control. Whether you are improving your swing or enjoying a casual game, you’ll find the essentials to play with confidence—without paying premium prices.","Disfruta de cada ronda con equipos y accesorios confiables diseñados para brindar precisión, comodidad y rendimiento en el campo. Nuestra selección se centra en equipos prácticos y asequibles, ideales para practicar y jugar. Procedentes directamente de los fabricantes, estos productos ofrecen una excelente relación calidad-precio, a la vez que favorecen la consistencia y el control. Tanto si estás mejorando tu swing como si disfrutas de un juego casual, encontrarás lo esencial para jugar con confianza, sin pagar precios desorbitados."
descripton.5,,"Discover a range of fun and engaging products designed to enhance leisure time for all ages. Our selection includes practical and affordable items for indoor and outdoor enjoyment, perfect for relaxing moments, games, and social activities. Sourced directly from manufacturers, these products focus on simplicity, durability, and value, helping you enjoy everyday entertainment without paying premium prices.","Descubra una gama de productos divertidos y atractivos diseñados para mejorar el tiempo libre de todas las edades. Nuestra selección incluye artículos prácticos y asequibles para disfrutar en interiores y exteriores, perfectos para momentos de relax, juegos y actividades sociales. Procedentes directamente de los fabricantes, estos productos se centran en la simplicidad, la durabilidad y el valor, para que pueda disfrutar del entretenimiento diario sin pagar precios elevados."
descripton.6,,"Prepare for the outdoors with reliable gear designed for comfort, safety, and practicality on every adventure. Our selection includes affordable equipment and accessories suited for camping trips and hiking excursions. Sourced directly from manufacturers, these products focus on durability, lightweight design, and ease of use. Whether exploring trails or spending nights in nature, you’ll find essential gear to enjoy the outdoors with confidence—without paying premium prices.

","Prepárese para la naturaleza con equipo confiable diseñado para brindar comodidad, seguridad y practicidad en cada aventura. Nuestra selección incluye equipos y accesorios asequibles, ideales para campamentos y excursiones de senderismo. Producidos directamente por fabricantes, estos productos se centran en la durabilidad, el diseño ligero y la facilidad de uso. Ya sea explorando senderos o pasando noches en la naturaleza, encontrará el equipo esencial para disfrutar del aire libre con confianza, sin pagar precios exorbitantes.

"
,,,#VALUE!
meta.title.menu.1,,"Fitness Equipment & Training Gear at Factory Prices | Sport4All
","Equipos de fitness y entrenamiento a precios de fábrica | Sport4All
"
meta.title.menu.2,,"Water Sports Gear & Accessories at Factory Prices | Sport4All
","Equipo y accesorios para deportes acuáticos a precios de fábrica | Sport4All
"
meta.title.menu.3,,"Cycling Gear & Accessories at Factory Prices | Sport4All
","Equipamiento y accesorios de ciclismo a precios de fábrica | Sport4All
"
meta.title.menu.4,,"Golf Equipment & Accessories at Factory Prices | Sport4All
","Equipos y accesorios de golf a precios de fábrica | Sport4All
"
meta.title.menu.5,,"Entertainment & Leisure Products at Factory Prices | Sport4All
","Productos de entretenimiento y ocio a precios de fábrica | Sport4All
"
meta.title.menu.6,,"Camping & Hiking Gear at Factory Prices | Sport4All
","Artículos de camping y senderismo a precios de fábrica | Sport4All
"
,,,#VALUE!
meta.des.menu.1,,Affordable fitness equipment and training accessories sourced directly from manufacturers. Train at home or at the gym with reliable gear at factory prices.,"Equipos de fitness y accesorios de entrenamiento asequibles, directamente de los fabricantes. Entrena en casa o en el gimnasio con equipos fiables a precios de fábrica."
meta.des.menu.2,,"Discover affordable water sports equipment for sea, lake, and river activities. Durable and reliable gear sourced directly from manufacturers.","Descubra equipos acuáticos asequibles para actividades en mar, lago y río. Equipo duradero y fiable, directamente de los fabricantes."
meta.des.menu.3,,"Shop affordable cycling equipment and accessories designed for comfort, safety, and performance. Factory-direct prices for every ride.","Compra equipo y accesorios de ciclismo asequibles, diseñados para ofrecerte comodidad, seguridad y rendimiento. Precios directos de fábrica para cada salida."
meta.des.menu.4,,Explore affordable golf gear and accessories for practice and play. Reliable equipment sourced directly from manufacturers at factory prices.,"Descubre equipos y accesorios de golf asequibles para practicar y jugar. Equipo confiable, directamente de los fabricantes, a precios de fábrica."
meta.des.menu.5,,"Find fun and affordable entertainment products for indoor and outdoor leisure. Practical, durable items sourced directly from manufacturers.","Encuentre productos de entretenimiento divertidos y asequibles para el ocio en interiores y exteriores. Artículos prácticos y duraderos, directamente de los fabricantes."
meta.des.menu.6,,Discover affordable camping and hiking equipment built for comfort and durability. Outdoor gear sourced directly from manufacturers at factory prices.,"Descubra equipos de camping y senderismo asequibles, diseñados para ofrecer comodidad y durabilidad. Equipo para actividades al aire libre, directamente de fabricantes a precios de fábrica."
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,Footer,,#VALUE!
,,,#VALUE!
footer.link.home,Lien footer Accueil,Home,Inicio
footer.link.sitemap,Lien footer Plan du site,Site map,Mapa del sitio
footer.link.conditions,Lien footer Conditions,Terms of Use,Condiciones de uso
footer.link.mentions,Lien footer Mentions légales,Legal notice,Aviso legal
footer.link.policy,Lien footer Politique,Privacy Policy,política de privacidad
footer.link.aboutus,Lien footer about us,About us,Sobre nosotros
,,,#VALUE!
,,,#VALUE!
legal.conditions.title,Titre page Conditions d'utilisation,Terms of Use - AliExpress Affiliate Program,Condiciones de uso - Programa de afiliados de AliExpress
legal.mentions.title,Titre page Mentions légales,Legal Notice - AliExpress Affiliate Program,Aviso legal - Programa de afiliados de AliExpress
legal.policy.title,Titre page Politique de confidentialité,Privacy Policy - AliExpress Affiliate Program,Política de privacidad - Programa de afiliados de AliExpress
legal.aboutus.title,Titre page about us,About us – SPORT4ALL,Sobre nosotros – SPORT4ALL
,,,#VALUE!
legal.conditions.meta.description,Description SEO Conditions,AliExpress Affiliate Site Terms of Use,Condiciones de uso del sitio de afiliados de AliExpress
legal.mentions.meta.description,Description SEO Mentions légales,Legal notices for the AliExpress affiliate website,Avisos legales para el sitio web afiliado de AliExpress
legal.policy.meta.description,Description SEO Politique,AliExpress Affiliate Site Privacy Policy,Política de privacidad del sitio de afiliados de AliExpress
legal.aboutus.meta.description,Description SEO About us,"Learn more about Sport4All, a platform promoting sports, fitness, outdoor, and leisure equipment sourced directly from manufacturers through trusted partners, offering factory-level prices for everyone.","Obtenga más información sobre Sport4All, una plataforma que promueve equipos deportivos, de fitness, para actividades al aire libre y de ocio obtenidos directamente de los fabricantes a través de socios de confianza y que ofrecen precios de fábrica para todos."
,,,#VALUE!
legal.conditions.content,,"<h1>Terms of Use - AliExpress Affiliate Program</h1>
<p style=""margin-bottom: 2rem;"">Terms of Use Last updated: 2024</p>
<p style=""margin-bottom: 2rem;"">1. Acceptance of Terms By accessing and using this website, you agree to be bound by these terms of use. If you do not agree to these terms, please do not use this site.</p>
<p style=""margin-bottom: 2rem;"">2. Description of Service This site is an affiliate site that provides links to products available on AliExpress. We do not sell the products directly, but earn a commission on sales made through our affiliate links.</p>
<p style=""margin-bottom: 2rem;"">3. Affiliate Links All links to AliExpress are affiliate links. By clicking on these links and making a purchase, we may receive a commission at no additional cost to you.</p>
<p style=""margin-bottom: 2rem;"">4. Liability We are not responsible for the quality, availability, or delivery of products sold on AliExpress. All disputes concerning products must be resolved directly with AliExpress or the seller.</p>
<p style=""margin-bottom: 2rem;"">5. Intellectual Property The content of this site, including text, images, and logos, is protected by intellectual property laws. Any unauthorized reproduction is prohibited.</p>
<p style=""margin-bottom: 2rem;"">6. Modifications We reserve the right to modify these terms of use at any time. Modifications will take effect immediately upon their posting on the website.</p>
<p style=""margin-bottom: 2rem;"">7. Contact For any questions regarding these terms of use, you can contact us at: contact@evanstudio.com</p>
","
<p style=""margin-bottom: 2rem;"">Condiciones de Uso Última actualización: 2024</p>
<p style=""margin-bottom: 2rem;"">1. Aceptación de las Condiciones: Al acceder y utilizar este sitio web, usted acepta estas condiciones de uso. Si no las acepta, le rogamos que no utilice este sitio.</p>
<p style=""margin-bottom: 2rem;"">2. Descripción del Servicio: Este sitio es un sitio de afiliados que proporciona enlaces a productos disponibles en AliExpress. No vendemos los productos directamente, sino que obtenemos una comisión por las ventas realizadas a través de nuestros enlaces de afiliados.</p>
<p style=""margin-bottom: 2rem;"">3. Enlaces de Afiliados: Todos los enlaces a AliExpress son enlaces de afiliados. Al hacer clic en estos enlaces y realizar una compra, podríamos recibir una comisión sin coste adicional para usted.</p>
<p style=""margin-bottom: 2rem;"">4. Responsabilidad: No nos responsabilizamos de la calidad, disponibilidad ni entrega de los productos vendidos en AliExpress. Cualquier disputa relacionada con los productos debe resolverse directamente con AliExpress o el vendedor.</p>
<p style=""margin-bottom: 2rem;"">5. Propiedad intelectual: El contenido de este sitio, incluyendo texto, imágenes y logotipos, está protegido por las leyes de propiedad intelectual. Queda prohibida cualquier reproducción no autorizada.</p>
<p style=""margin-bottom: 2rem;"">6. Modificaciones: Nos reservamos el derecho de modificar estas condiciones de uso en cualquier momento. Las modificaciones entrarán en vigor inmediatamente después de su publicación en el sitio web.</p>
<p style=""margin-bottom: 2rem;"">7. Contacto: Para cualquier pregunta sobre estas condiciones de uso, puede contactarnos en: contact@evanstudio.com</p>
"
,,,#VALUE!
legal.mentions.content,,"<h1>Legal Notice - AliExpress Affiliate Program</h1>
<p>Last updated: 2024</p>
<h2>1. Website Publisher</h2>
<ul>
    <li>Company name: EVAN STUDIO CO.LTD</li>
    <li>Email: contact@evanstudio.net</li>
</ul>
<h2>2. Publication Director</h2>
<p>EVAN STUDIO CO.LTD (Director and Owner)</p>
<h2>3. Hosting</h2>
<ul>
    <li>Host: Cloudflare</li>
    <li>Address: 101 Townsend St, San Francisco, CA 94107, USA</li>
</ul>
<h2>4. Intellectual Property</h2>
<p>This entire website is governed by French and international legislation on copyright and intellectual property. All rights of reproduction are reserved, including for downloadable documents and iconographic and photographic representations. Reproduction of all or part of this website on any electronic medium whatsoever is strictly prohibited without the express authorization of the publication director.</p>
<h2>5. Protection of Personal Data</h2>
<p>In accordance with the French Data Protection Act of 6 January 1978, as amended, and the General Data Protection Regulation (GDPR), you have the right to access, rectify, erase, and object to the processing of your personal data. To exercise this right, you can contact us at: contact@alxgroup.com</p>
<h2>6. External Links</h2>
<p>This site contains links to external websites. We are not responsible for the content of these external websites or their privacy policies.</p>
<h2>7. Cookies</h2>
<p>This site may use cookies to improve the user experience. For more information, please see our <a href=""https://policies.google.com/privacy?hl=en-US"">Privacy Policy</a>.</p>
<h2>8. Contact</h2>
<p>For any questions regarding these legal notices, you can contact us at: contact@evanstudio.com</p>
","<p>Última actualización: 2024</p>

<h2>1. Editor del sitio web</h2>
<ul>
    <li>Nombre de la empresa: EVAN STUDIO CO.LTD</li>
    <li>Correo electrónico: contact@evanstudio.net</li>
</ul>

<h2>2. Director de la publicación</h2>
<p>EVAN STUDIO CO.LTD (Director y propietario)</p>

<h2>3. Alojamiento</h2>
<ul>
    <li>Host: Cloudflare</li>
    <li>Dirección: 101 Townsend St, San Francisco, CA 94107, EE. UU.</li>
</ul>

<h2>4. Propiedad intelectual</h2>
<p>
Todo este sitio web se rige por la legislación francesa e internacional sobre derechos de autor y propiedad intelectual. 
Se reservan todos los derechos de reproducción, incluidos los de documentos descargables y representaciones iconográficas 
y fotográficas. Queda estrictamente prohibida la reproducción total o parcial de este sitio web en cualquier soporte 
electrónico sin la autorización expresa del director de la publicación.
</p>

<h2>5. Protección de Datos Personales</h2>
<p>
De conformidad con la Ley de Protección de Datos francesa del 6 de enero de 1978, en su versión modificada, 
y el Reglamento General de Protección de Datos (RGPD), usted tiene derecho a acceder, rectificar, suprimir y oponerse 
al tratamiento de sus datos personales. Para ejercer este derecho, puede ponerse en contacto con nosotros en: 
contact@alxgroup.com.
</p>

<h2>6. Enlaces externos</h2>
<p>
Este sitio contiene enlaces a sitios web externos. No nos hacemos responsables del contenido de estos sitios web externos 
ni de sus políticas de privacidad.
</p>

<h2>7. Cookies</h2>
<p>
Este sitio puede utilizar cookies para mejorar la experiencia del usuario. Para obtener más información, consulte nuestra 
<a href=""https://policies.google.com/privacy?hl=es-ES"">Política de Privacidad</a>.
</p>

<h2>8. Contacto</h2>
<p>
Si tiene alguna pregunta sobre estos avisos legales, puede contactarnos en: contact@evanstudio.com
</p>
"
,,,#VALUE!
legal.policy.content,,"<h1>Privacy Policy - AliExpress Affiliate Program</h1>
<p>Last updated: 2024</p>
<h2>1. Introduction</h2>
<p>This privacy policy describes how we collect, use, and protect your personal information when you use our website.</p>
<h2>2. Data Collected</h2>
<ul>
    <li>Browsing data: IP address, browser type, pages visited, visit duration</li>
    <li>Cookies: to improve your user experience and analyze traffic</li>
    <li>Contact data: if you contact us via the form or email</li>
</ul>
<h2>3. Use of Data</h2>
<ul>
    <li>Improve the website's functionality</li>
    <li>Analyze website traffic and usage</li>
    <li>Contact you in response to your inquiries</li>
    <li>Comply with our legal obligations</li>
</ul>
<h2>4. Cookies</h2>
<ul>
    <li>Remember your preferences</li>
    <li>Analyze website traffic</li>
    <li>Improve the user experience</li>
</ul>
<p>You can disable cookies in your browser settings, but this may affect some website functionality.</p>
<h2>5. Data Sharing</h2>
<p>We do not sell, rent, or share your personal data with third parties, except:</p>
<ul>
    <li>When required by law</li>
    <li>With your explicit consent</li>
    <li>With our service providers (hosting, analytics) under a confidentiality agreement</li>
</ul>
<h2>6. Data Security</h2>
<p>We implement appropriate security measures to protect your personal data against unauthorized access, modification, disclosure, or destruction.</p>
<h2>7. Your Rights (GDPR)</h2>
<ul>
    <li>Right of access: you can request a copy of your personal data</li>
    <li>Right to rectification: you can correct your inaccurate data</li>
    <li>Right to erasure: you can request the deletion of your data</li>
    <li>Right to object: You can object to the processing of your personal data under certain circumstances.</li>
</ul>
","<p>Última actualización: 2024</p>

<h2>1. Editor del sitio web</h2>
<ul>
    <li>Nombre de la empresa: EVAN STUDIO CO.LTD</li>
    <li>Correo electrónico: contact@evanstudio.net</li>
</ul>

<h2>2. Director de la publicación</h2>
<p>EVAN STUDIO CO.LTD (Director y propietario)</p>

<h2>3. Alojamiento</h2>
<ul>
    <li>Host: Cloudflare</li>
    <li>Dirección: 101 Townsend St, San Francisco, CA 94107, EE. UU.</li>
</ul>

<h2>4. Propiedad intelectual</h2>
<p>
Todo este sitio web se rige por la legislación francesa e internacional sobre derechos de autor y propiedad intelectual. 
Se reservan todos los derechos de reproducción, incluidos los de documentos descargables y representaciones iconográficas 
y fotográficas. Queda estrictamente prohibida la reproducción total o parcial de este sitio web en cualquier soporte 
electrónico sin la autorización expresa del director de la publicación.
</p>

<h2>5. Protección de Datos Personales</h2>
<p>
De conformidad con la Ley de Protección de Datos francesa del 6 de enero de 1978, en su versión modificada, 
y el Reglamento General de Protección de Datos (RGPD), usted tiene derecho a acceder, rectificar, suprimir y oponerse 
al tratamiento de sus datos personales. Para ejercer este derecho, puede ponerse en contacto con nosotros en: 
contact@alxgroup.com.
</p>

<h2>6. Enlaces externos</h2>
<p>
Este sitio contiene enlaces a sitios web externos. No nos hacemos responsables del contenido de estos sitios web externos 
ni de sus políticas de privacidad.
</p>

<h2>7. Cookies</h2>
<p>
Este sitio puede utilizar cookies para mejorar la experiencia del usuario. Para obtener más información, consulte nuestra 
<a href=""https://policies.google.com/privacy?hl=es-ES"">Política de Privacidad</a>.
</p>

<h2>8. Contacto</h2>
<p>
Si tiene alguna pregunta sobre estos avisos legales, puede contactarnos en: contact@evanstudio.com
</p>
"
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
legal.aboutus.content,,"<h1>About Sport4All</h1>

<p>
Sport4All was created with a simple goal: <strong>make sports, fitness, and outdoor equipment accessible to everyone at fair prices</strong>.
</p>

<p>
We work with multiple brands and manufacturers sourced directly from Chinese factories, mainly through trusted platforms such as <strong>AliExpress</strong>. By sourcing close to production, we are able to offer <strong>factory-level prices</strong> while maintaining a wide selection of products for sports, fitness, and outdoor activities.
</p>

<h2>What We Offer</h2>

<p>
Our catalog covers a broad range of disciplines, including:
</p>

<p>
• Sports training and fitness equipment<br>
• Outdoor and adventure gear<br>
• Fishing equipment and accessories<br>
• Water sports gear for leisure and performance<br>
• Snow sports equipment for winter activities
</p>

<h2>Our Approach</h2>

<p>
Instead of focusing on expensive marketing or intermediaries, Sport4All prioritizes <strong>value, variety, and affordability</strong>. This approach allows us to provide competitive pricing without compromising on functionality or usability.
</p>

<p>
We carefully select products based on demand, practicality, and customer feedback, and we continuously update our offerings to match current trends and needs.
</p>

<h2>Our Philosophy</h2>

<p>
Sport4All is for beginners, enthusiasts, and active people who want <strong>reliable gear at the right price</strong>, without paying for unnecessary markups.
</p>

<p>
<strong>Train more. Explore more. Pay less.</strong><br>
That’s the Sport4All philosophy.
</p>
","<h1>Acerca de Sport4All</h1>

<p>
Sport4All se creó con un objetivo simple: <strong>hacer que el equipamiento deportivo, de fitness y para actividades al aire libre sea accesible para todos a precios justos</strong>.
</p>

<p>
Trabajamos con múltiples marcas y fabricantes que se abastecen directamente de fábricas chinas, principalmente a través de plataformas de confianza como <strong>AliExpress</strong>. Al abastecernos cerca de la producción, podemos ofrecer <strong>precios de fábrica</strong>, manteniendo una amplia selección de productos para deportes, fitness y actividades al aire libre.
</p>

<h2>Qué ofrecemos</h2>

<p>
Nuestro catálogo abarca una amplia gama de disciplinas, incluyendo:
</p>

<ul>
    <li>Equipos de entrenamiento deportivo y fitness</li>
    <li>Equipos para actividades al aire libre y de aventura</li>
    <li>Equipos y accesorios de pesca</li>
    <li>Equipos para deportes acuáticos de ocio y rendimiento</li>
    <li>Equipos para deportes de nieve para actividades invernales</li>
</ul>

<h2>Nuestro enfoque</h2>

<p>
En lugar de centrarnos en marketing costoso o intermediarios, Sport4All prioriza el valor, la variedad y la asequibilidad. Este enfoque nos permite ofrecer precios competitivos sin comprometer la funcionalidad ni la facilidad de uso.
</p>

<p>
Seleccionamos cuidadosamente los productos en función de la demanda, la practicidad y las opiniones de los clientes, y actualizamos continuamente nuestra oferta para adaptarla a las tendencias y necesidades actuales.
</p>

<h2>Nuestra filosofía</h2>

<p>
Sport4All es para principiantes, entusiastas y personas activas que buscan <strong>equipamiento confiable al precio justo</strong>, sin pagar sobreprecios innecesarios.
</p>

<p>
<strong>Entrena más. Explora más. Paga menos.</strong><br>
Esa es la filosofía de Sport4All.
</p>
"
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
footer.copyright,Texte copyright footer,© 2024 AliExpress Affiliate. All rights reserved.,© 2024 Afiliado de AliExpress. Todos los derechos reservados.
footer.contact,Texte contact footer,Contact us:,Contáctenos:
site.domain,Domaine du site (URL de base),https://esport4all.com,https://esport4all.com
site.contact.email,Adresse email de contact,contact@evanstudio.net,contacto@evanstudio.net
,,,#VALUE!
,,,#VALUE!
,,</head>,</cabeza>
,,<body>,<cuerpo>
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,Index,,#VALUE!
,,,#VALUE!
site.meta.title,Titre SEO du site (page d'accueil),"Sport4All | Sports, Outdoor & Fitness Equipment at Factory Prices","Sport4All | Equipos deportivos, para actividades al aire libre y fitness a precios de fábrica"
site.meta.description,Description SEO du site (page d'accueil),"Sport4All offers high-quality sports, outdoor, and fitness equipment at direct factory prices. Gear up for training, adventure, and active living for less.","Sport4All ofrece equipos deportivos, de actividades al aire libre y de fitness de alta calidad a precios de fábrica. Equípate para entrenar, vivir la aventura y la vida activa por menos."
homepage.hero.title,Titre principal de la page d'accueil (hero),Discover the Best Products of SPORT4ALL,Descubre los mejores productos de SPORT4ALL
homepage.hero.subtitle,Sous-titre de la page d'accueil (hero),Exclusive offers and competitive prices for all your needs,Ofertas exclusivas y precios competitivos para todas tus necesidades
homepage.hero.button,Texte du bouton hero,View Products,Ver productos
homepage.hero.button.url,URL du lien du bouton hero,https://www.aliexpress.com/store/1105107302?spm=a2g0o.detail.0.0.7c37YBN1YBN1zN,https://www.aliexpress.com/store/1105107302?spm=a2g0o.detail.0.0.7c37YBN1YBN1zN
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,presentation,,#VALUE!
,,,#VALUE!
homepage.presentation.title,Titre de la section présentation marque,About SPORT4ALL,Acerca de SPORT4ALL
homepage.presentation.content,Contenu de la section présentation marque,"SPORT4ALL is your destination for affordable sports, fitness, and outdoor equipment at factory prices. We promote a wide range of brands sourced directly from Chinese manufacturers through trusted platforms such as AliExpress. By working close to production, we reduce intermediaries and pass the savings on to our customers. Our selection includes gear for fitness training, outdoor adventures, fishing, water sports, and snow sports. Whether you are a beginner or an active enthusiast, Sport4All helps you stay equipped, active, and ready for every challenge—without overpaying.","SPORT4ALL es tu mejor opción para encontrar equipamiento deportivo, de fitness y para actividades al aire libre a precios de fábrica. Promocionamos una amplia gama de marcas procedentes directamente de fabricantes chinos a través de plataformas de confianza como AliExpress. Al trabajar cerca de la producción, reducimos los intermediarios y trasladamos el ahorro a nuestros clientes. Nuestra selección incluye equipamiento para entrenamiento físico, aventuras al aire libre, pesca, deportes acuáticos y deportes de nieve. Tanto si eres principiante como si eres un entusiasta activo, Sport4All te ayuda a mantenerte equipado, activo y listo para cualquier reto, sin pagar de más."
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
homepage.advantages.title,Titre de la section avantages,</section>,</sección>
homepage.advantages.factory_price.title,Titre avantage: Prix Direct Usine,Factory Direct Price,Precio directo de fábrica
homepage.advantages.factory_price.description,Description avantage: Prix Direct Usine,Benefit from factory-direct pricing without intermediaries.,Benefíciese de precios directos de fábrica sin intermediarios.
homepage.advantages.worldwide_shipping.title,Titre avantage: Livraison Mondiale,Worldwide Delivery,Entrega a nivel mundial
homepage.advantages.worldwide_shipping.description,Description avantage: Livraison Mondiale,Worldwide delivery for all your needs,Entrega a nivel mundial para todas sus necesidades.
homepage.advantages.customer_service.title,Titre avantage: Service Après-Vente Réactif,Responsive After-Sales Service,Servicio posventa receptivo
homepage.advantages.customer_service.description,Description avantage: Service Après-Vente Réactif,A responsive and available after-sales service to assist you,Un servicio posventa receptivo y disponible para ayudarle.
homepage.advantages.secure_payment.title,Titre avantage: Paiement Sécurisé,Secure Payment,Pago seguro
homepage.advantages.secure_payment.description,Description avantage: Paiement Sécurisé,Secure payment by credit card with maximum protection,Pago seguro con tarjeta de crédito con la máxima protección
homepage.faq.title,Titre de la section FAQ,Frequently Asked Questions,Preguntas frecuentes
homepage.categories.title,Titre de la section catégories,Our Categories,Nuestras categorías
homepage.testimonials.title,Titre de la section témoignages,Customer Reviews,Opiniones de clientes
homepage.stats.title,Titre de la section statistiques,Our Key Figures,Nuestras cifras clave
homepage.stats.products.number,Nombre de produits,1620+,1620+
homepage.stats.products.label,Label produits,Products Available,Productos disponibles
homepage.stats.countries.number,Nombre de pays,120+,120+
homepage.stats.countries.label,Label pays,Country of Delivery,País de entrega
homepage.stats.satisfaction.number,Taux de satisfaction,98%,98%
homepage.stats.satisfaction.label,Label satisfaction,Customer Satisfaction,Satisfacción del cliente
homepage.stats.support.number,Support client,24/7,24/7
homepage.stats.support.label,Label support,Customer Service,Servicio al cliente
homepage.testimonials.1.name,Nom du témoignage 1,Mathieu C.,Mathieu C.
homepage.testimonials.1.text,Texte du témoignage 1,"Excellent service! I ordered fitness equipment and I am very satisfied. The quality is excellent, the delivery was fast, and the packaging was neat. The equipment performs exactly as described and is sturdy, comfortable, and easy to use. It has greatly improved my workouts. I highly recommend it without hesitation.","¡Excelente servicio! Pedí equipo de fitness y estoy muy satisfecho. La calidad es excelente, la entrega fue rápida y el embalaje impecable. El equipo funciona exactamente como se describe y es resistente, cómodo y fácil de usar. Ha mejorado mucho mis entrenamientos. Lo recomiendo sin dudarlo."
homepage.testimonials.2.name,Nom du témoignage 2,Elodie A.,Elodie A.
homepage.testimonials.2.text,Texte du témoignage 2,"Excellent value for money. I bought a complete electric bike and everything matched the description. The bike is powerful, comfortable, and well built, with a smooth ride and good range. Delivery was on time, the packaging was secure, and the product exceeded my expectations.","Excelente relación calidad-precio. Compré una bicicleta eléctrica completa y todo coincidía con la descripción. La bicicleta es potente, cómoda y bien construida, con una conducción suave y buena autonomía. La entrega fue puntual, el embalaje estaba bien protegido y el producto superó mis expectativas."
homepage.testimonials.3.name,Nom du témoignage 3,Claude P.,Claude P.
homepage.testimonials.3.text,Texte du témoignage 3,"Perfect! I ordered a stand-up paddle and I’m very satisfied. The product is high quality, the price is competitive, and the delivery went smoothly. The paddle is stable, well designed, and easy to use, making it great for both beginners and experienced riders. I will definitely be back!","¡Perfecto! Pedí un paddle surf y estoy muy satisfecho. El producto es de alta calidad, el precio es competitivo y la entrega fue perfecta. El remo es estable, está bien diseñado y es fácil de usar, ideal tanto para principiantes como para riders experimentados. ¡Sin duda volveré!"
homepage.testimonials.4.name,Nom du témoignage 4,Laura Q.,Laura Q.
homepage.testimonials.4.text,Texte du témoignage 4,Responsive customer service and quality products. I had a quick question before ordering and received a prompt and helpful reply. The golf equipment perfectly matches the photos and descriptions. The build quality is excellent and the products perform exactly as expected on the course. Very satisfied with my purchase!,Servicio al cliente eficiente y productos de calidad. Tenía una pregunta rápida antes de hacer el pedido y recibí una respuesta rápida y útil. El equipo de golf coincide perfectamente con las fotos y descripciones. La calidad de construcción es excelente y los productos funcionan exactamente como se espera en el campo. ¡Estoy muy satisfecho con mi compra!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
